action_id,triggered_on,student_id,severity,rule_id,rule_name,action,route_to,policy_basis,rationale,withdraw_prob_at_trigger,fail_prob_at_trigger,top_driver_withdraw,top_driver_fail,status
ACT00022,2025-03-22,STU0107,escalation,WD_CRIT,Critical withdrawal risk,Schedule a mandatory 1:1 retention meeting with personal tutor within 5 working days,Personal Tutor,Student Retention Policy §4.2 (Critical Early Alert),Predicted withdrawal probability is 54.6% (threshold 40%). Top contributing factor: Lecture materials accessed (last 4w).,0.5456,0.8376,Lecture materials accessed (last 4w),Past interventions received,Pending
ACT00023,2025-03-22,STU0419,escalation,WD_CRIT,Critical withdrawal risk,Schedule a mandatory 1:1 retention meeting with personal tutor within 5 working days,Personal Tutor,Student Retention Policy §4.2 (Critical Early Alert),Predicted withdrawal probability is 54.4% (threshold 40%). Top contributing factor: Lecture materials accessed (last 4w).,0.5441,0.8382,Lecture materials accessed (last 4w),Past interventions received,Pending
ACT00024,2025-03-22,STU0183,escalation,WD_CRIT,Critical withdrawal risk,Schedule a mandatory 1:1 retention meeting with personal tutor within 5 working days,Personal Tutor,Student Retention Policy §4.2 (Critical Early Alert),Predicted withdrawal probability is 54.3% (threshold 40%). Top contributing factor: Lecture materials accessed (last 4w).,0.543,0.8376,Lecture materials accessed (last 4w),Past interventions received,Pending
ACT00025,2025-03-22,STU0302,escalation,WD_CRIT,Critical withdrawal risk,Schedule a mandatory 1:1 retention meeting with personal tutor within 5 working days,Personal Tutor,Student Retention Policy §4.2 (Critical Early Alert),Predicted withdrawal probability is 53.6% (threshold 40%). Top contributing factor: Lecture materials accessed (last 4w).,0.5359,0.8333,Lecture materials accessed (last 4w),Past interventions received,Pending
ACT00026,2025-03-22,STU0309,escalation,WD_CRIT,Critical withdrawal risk,Schedule a mandatory 1:1 retention meeting with personal tutor within 5 working days,Personal Tutor,Student Retention Policy §4.2 (Critical Early Alert),Predicted withdrawal probability is 53.2% (threshold 40%). Top contributing factor: Lecture materials accessed (last 4w).,0.532,0.838,Lecture materials accessed (last 4w),Past interventions received,Pending
ACT00027,2025-03-22,STU0338,escalation,WD_CRIT,Critical withdrawal risk,Schedule a mandatory 1:1 retention meeting with personal tutor within 5 working days,Personal Tutor,Student Retention Policy §4.2 (Critical Early Alert),Predicted withdrawal probability is 53.1% (threshold 40%). Top contributing factor: Lecture materials accessed (last 4w).,0.5313,0.8343,Lecture materials accessed (last 4w),Recent attendance (4-week avg),Pending
ACT00028,2025-03-22,STU0379,escalation,WD_CRIT,Critical withdrawal risk,Schedule a mandatory 1:1 retention meeting with personal tutor within 5 working days,Personal Tutor,Student Retention Policy §4.2 (Critical Early Alert),Predicted withdrawal probability is 53.1% (threshold 40%). Top contributing factor: Lecture materials accessed (last 4w).,0.5308,0.8371,Lecture materials accessed (last 4w),Past interventions received,Pending
ACT00029,2025-03-22,STU0592,escalation,WD_CRIT,Critical withdrawal risk,Schedule a mandatory 1:1 retention meeting with personal tutor within 5 working days,Personal Tutor,Student Retention Policy §4.2 (Critical Early Alert),Predicted withdrawal probability is 53.0% (threshold 40%). Top contributing factor: Lecture materials accessed (last 4w).,0.5305,0.8372,Lecture materials accessed (last 4w),Past interventions received,Pending
ACT00030,2025-03-22,STU0546,escalation,WD_CRIT,Critical withdrawal risk,Schedule a mandatory 1:1 retention meeting with personal tutor within 5 working days,Personal Tutor,Student Retention Policy §4.2 (Critical Early Alert),Predicted withdrawal probability is 52.7% (threshold 40%). Top contributing factor: Lecture materials accessed (last 4w).,0.5268,0.8263,Lecture materials accessed (last 4w),Recent attendance (4-week avg),Pending
ACT00031,2025-03-22,STU0507,escalation,WD_CRIT,Critical withdrawal risk,Schedule a mandatory 1:1 retention meeting with personal tutor within 5 working days,Personal Tutor,Student Retention Policy §4.2 (Critical Early Alert),Predicted withdrawal probability is 52.5% (threshold 40%). Top contributing factor: Lecture materials accessed (last 4w).,0.525,0.8375,Lecture materials accessed (last 4w),Past interventions received,Pending
ACT00032,2025-03-22,STU0216,escalation,WD_CRIT,Critical withdrawal risk,Schedule a mandatory 1:1 retention meeting with personal tutor within 5 working days,Personal Tutor,Student Retention Policy §4.2 (Critical Early Alert),Predicted withdrawal probability is 52.0% (threshold 40%). Top contributing factor: Lecture materials accessed (last 4w).,0.5197,0.8366,Lecture materials accessed (last 4w),Past interventions received,Pending
ACT00033,2025-03-22,STU0268,escalation,WD_CRIT,Critical withdrawal risk,Schedule a mandatory 1:1 retention meeting with personal tutor within 5 working days,Personal Tutor,Student Retention Policy §4.2 (Critical Early Alert),Predicted withdrawal probability is 51.9% (threshold 40%). Top contributing factor: Lecture materials accessed (last 4w).,0.5193,0.8349,Lecture materials accessed (last 4w),Recent attendance (4-week avg),Pending
ACT00034,2025-03-22,STU0201,escalation,WD_CRIT,Critical withdrawal risk,Schedule a mandatory 1:1 retention meeting with personal tutor within 5 working days,Personal Tutor,Student Retention Policy §4.2 (Critical Early Alert),Predicted withdrawal probability is 51.9% (threshold 40%). Top contributing factor: Lecture materials accessed (last 4w).,0.5186,0.8376,Lecture materials accessed (last 4w),Past interventions received,Pending
ACT00035,2025-03-22,STU0203,escalation,WD_CRIT,Critical withdrawal risk,Schedule a mandatory 1:1 retention meeting with personal tutor within 5 working days,Personal Tutor,Student Retention Policy §4.2 (Critical Early Alert),Predicted withdrawal probability is 51.7% (threshold 40%). Top contributing factor: Recent attendance (4-week avg).,0.517,0.8283,Recent attendance (4-week avg),Past interventions received,Pending
ACT00036,2025-03-22,STU0054,escalation,WD_CRIT,Critical withdrawal risk,Schedule a mandatory 1:1 retention meeting with personal tutor within 5 working days,Personal Tutor,Student Retention Policy §4.2 (Critical Early Alert),Predicted withdrawal probability is 51.1% (threshold 40%). Top contributing factor: Recent attendance (4-week avg).,0.5113,0.7929,Recent attendance (4-week avg),Recent attendance (4-week avg),Pending
ACT00037,2025-03-22,STU0494,escalation,WD_CRIT,Critical withdrawal risk,Schedule a mandatory 1:1 retention meeting with personal tutor within 5 working days,Personal Tutor,Student Retention Policy §4.2 (Critical Early Alert),Predicted withdrawal probability is 50.2% (threshold 40%). Top contributing factor: Lecture materials accessed (last 4w).,0.5019,0.8329,Lecture materials accessed (last 4w),Recent attendance (4-week avg),Pending
ACT00038,2025-03-22,STU0420,escalation,WD_CRIT,Critical withdrawal risk,Schedule a mandatory 1:1 retention meeting with personal tutor within 5 working days,Personal Tutor,Student Retention Policy §4.2 (Critical Early Alert),Predicted withdrawal probability is 49.9% (threshold 40%). Top contributing factor: Recent attendance (4-week avg).,0.499,0.8319,Recent attendance (4-week avg),Past interventions received,Pending
ACT00039,2025-03-22,STU0391,escalation,WD_CRIT,Critical withdrawal risk,Schedule a mandatory 1:1 retention meeting with personal tutor within 5 working days,Personal Tutor,Student Retention Policy §4.2 (Critical Early Alert),Predicted withdrawal probability is 48.0% (threshold 40%). Top contributing factor: Lecture materials accessed (last 4w).,0.48,0.8364,Lecture materials accessed (last 4w),Recent attendance (4-week avg),Pending
ACT00040,2025-03-22,STU0212,escalation,WD_CRIT,Critical withdrawal risk,Schedule a mandatory 1:1 retention meeting with personal tutor within 5 working days,Personal Tutor,Student Retention Policy §4.2 (Critical Early Alert),Predicted withdrawal probability is 47.6% (threshold 40%). Top contributing factor: Lecture materials accessed (last 4w).,0.4762,0.8367,Lecture materials accessed (last 4w),Past interventions received,Pending
ACT00041,2025-03-22,STU0314,escalation,WD_CRIT,Critical withdrawal risk,Schedule a mandatory 1:1 retention meeting with personal tutor within 5 working days,Personal Tutor,Student Retention Policy §4.2 (Critical Early Alert),Predicted withdrawal probability is 47.2% (threshold 40%). Top contributing factor: Lecture materials accessed (last 4w).,0.4717,0.8312,Lecture materials accessed (last 4w),Past interventions received,Pending
ACT00042,2025-03-22,STU0484,escalation,WD_CRIT,Critical withdrawal risk,Schedule a mandatory 1:1 retention meeting with personal tutor within 5 working days,Personal Tutor,Student Retention Policy §4.2 (Critical Early Alert),Predicted withdrawal probability is 46.8% (threshold 40%). Top contributing factor: Lecture materials accessed (last 4w).,0.4678,0.8373,Lecture materials accessed (last 4w),Past interventions received,Pending
ACT00043,2025-03-22,STU0199,escalation,WD_CRIT,Critical withdrawal risk,Schedule a mandatory 1:1 retention meeting with personal tutor within 5 working days,Personal Tutor,Student Retention Policy §4.2 (Critical Early Alert),Predicted withdrawal probability is 46.4% (threshold 40%). Top contributing factor: Lecture materials accessed (last 4w).,0.4643,0.6684,Lecture materials accessed (last 4w),Past interventions received,Pending
ACT00044,2025-03-22,STU0158,escalation,WD_CRIT,Critical withdrawal risk,Schedule a mandatory 1:1 retention meeting with personal tutor within 5 working days,Personal Tutor,Student Retention Policy §4.2 (Critical Early Alert),Predicted withdrawal probability is 45.0% (threshold 40%). Top contributing factor: Lecture materials accessed (last 4w).,0.4502,0.8376,Lecture materials accessed (last 4w),Past interventions received,Pending
ACT00045,2025-03-22,STU0594,escalation,WD_CRIT,Critical withdrawal risk,Schedule a mandatory 1:1 retention meeting with personal tutor within 5 working days,Personal Tutor,Student Retention Policy §4.2 (Critical Early Alert),Predicted withdrawal probability is 45.0% (threshold 40%). Top contributing factor: Recent attendance (4-week avg).,0.4497,0.8227,Recent attendance (4-week avg),Recent attendance (4-week avg),Pending
ACT00046,2025-03-22,STU0596,escalation,WD_CRIT,Critical withdrawal risk,Schedule a mandatory 1:1 retention meeting with personal tutor within 5 working days,Personal Tutor,Student Retention Policy §4.2 (Critical Early Alert),Predicted withdrawal probability is 44.9% (threshold 40%). Top contributing factor: Lecture materials accessed (last 4w).,0.4489,0.8381,Lecture materials accessed (last 4w),Past interventions received,Pending
ACT00047,2025-03-22,STU0506,escalation,WD_CRIT,Critical withdrawal risk,Schedule a mandatory 1:1 retention meeting with personal tutor within 5 working days,Personal Tutor,Student Retention Policy §4.2 (Critical Early Alert),Predicted withdrawal probability is 44.6% (threshold 40%). Top contributing factor: Recent attendance (4-week avg).,0.4461,0.838,Recent attendance (4-week avg),Past interventions received,Pending
ACT00048,2025-03-22,STU0313,escalation,WD_CRIT,Critical withdrawal risk,Schedule a mandatory 1:1 retention meeting with personal tutor within 5 working days,Personal Tutor,Student Retention Policy §4.2 (Critical Early Alert),Predicted withdrawal probability is 44.2% (threshold 40%). Top contributing factor: Lecture materials accessed (last 4w).,0.4416,0.8377,Lecture materials accessed (last 4w),Past interventions received,Pending
ACT00049,2025-03-22,STU0237,escalation,WD_CRIT,Critical withdrawal risk,Schedule a mandatory 1:1 retention meeting with personal tutor within 5 working days,Personal Tutor,Student Retention Policy §4.2 (Critical Early Alert),Predicted withdrawal probability is 44.0% (threshold 40%). Top contributing factor: Lecture materials accessed (last 4w).,0.4395,0.8246,Lecture materials accessed (last 4w),Recent attendance (4-week avg),Pending
ACT00050,2025-03-22,STU0015,escalation,WD_CRIT,Critical withdrawal risk,Schedule a mandatory 1:1 retention meeting with personal tutor within 5 working days,Personal Tutor,Student Retention Policy §4.2 (Critical Early Alert),Predicted withdrawal probability is 43.9% (threshold 40%). Top contributing factor: Lecture materials accessed (last 4w).,0.4388,0.8372,Lecture materials accessed (last 4w),Past interventions received,Pending
ACT00051,2025-03-22,STU0194,escalation,WD_CRIT,Critical withdrawal risk,Schedule a mandatory 1:1 retention meeting with personal tutor within 5 working days,Personal Tutor,Student Retention Policy §4.2 (Critical Early Alert),Predicted withdrawal probability is 43.3% (threshold 40%). Top contributing factor: Lecture materials accessed (last 4w).,0.4331,0.8326,Lecture materials accessed (last 4w),Past interventions received,Pending
ACT00052,2025-03-22,STU0270,escalation,WD_CRIT,Critical withdrawal risk,Schedule a mandatory 1:1 retention meeting with personal tutor within 5 working days,Personal Tutor,Student Retention Policy §4.2 (Critical Early Alert),Predicted withdrawal probability is 42.8% (threshold 40%). Top contributing factor: Lecture materials accessed (last 4w).,0.4277,0.8384,Lecture materials accessed (last 4w),Past interventions received,Pending
ACT00053,2025-03-22,STU0479,escalation,WD_CRIT,Critical withdrawal risk,Schedule a mandatory 1:1 retention meeting with personal tutor within 5 working days,Personal Tutor,Student Retention Policy §4.2 (Critical Early Alert),Predicted withdrawal probability is 42.4% (threshold 40%). Top contributing factor: Lecture materials accessed (last 4w).,0.4243,0.8008,Lecture materials accessed (last 4w),Previous semester GPA,Pending
ACT00054,2025-03-22,STU0425,escalation,WD_CRIT,Critical withdrawal risk,Schedule a mandatory 1:1 retention meeting with personal tutor within 5 working days,Personal Tutor,Student Retention Policy §4.2 (Critical Early Alert),Predicted withdrawal probability is 41.8% (threshold 40%). Top contributing factor: Lecture materials accessed (last 4w).,0.418,0.0789,Lecture materials accessed (last 4w),VLE login trend,Pending
ACT00055,2025-03-22,STU0366,escalation,WD_CRIT,Critical withdrawal risk,Schedule a mandatory 1:1 retention meeting with personal tutor within 5 working days,Personal Tutor,Student Retention Policy §4.2 (Critical Early Alert),Predicted withdrawal probability is 41.7% (threshold 40%). Top contributing factor: Lecture materials accessed (last 4w).,0.4167,0.836,Lecture materials accessed (last 4w),Past interventions received,Pending
ACT00056,2025-03-22,STU0249,escalation,WD_CRIT,Critical withdrawal risk,Schedule a mandatory 1:1 retention meeting with personal tutor within 5 working days,Personal Tutor,Student Retention Policy §4.2 (Critical Early Alert),Predicted withdrawal probability is 41.6% (threshold 40%). Top contributing factor: Recent attendance (4-week avg).,0.4164,0.8375,Recent attendance (4-week avg),Past interventions received,Pending
ACT00057,2025-03-22,STU0317,escalation,WD_CRIT,Critical withdrawal risk,Schedule a mandatory 1:1 retention meeting with personal tutor within 5 working days,Personal Tutor,Student Retention Policy §4.2 (Critical Early Alert),Predicted withdrawal probability is 41.5% (threshold 40%). Top contributing factor: Recent attendance (4-week avg).,0.4146,0.8259,Recent attendance (4-week avg),Recent attendance (4-week avg),Pending
ACT00058,2025-03-22,STU0387,escalation,WD_CRIT,Critical withdrawal risk,Schedule a mandatory 1:1 retention meeting with personal tutor within 5 working days,Personal Tutor,Student Retention Policy §4.2 (Critical Early Alert),Predicted withdrawal probability is 41.4% (threshold 40%). Top contributing factor: Lecture materials accessed (last 4w).,0.4145,0.8308,Lecture materials accessed (last 4w),Past interventions received,Pending
ACT00059,2025-03-22,STU0074,escalation,WD_CRIT,Critical withdrawal risk,Schedule a mandatory 1:1 retention meeting with personal tutor within 5 working days,Personal Tutor,Student Retention Policy §4.2 (Critical Early Alert),Predicted withdrawal probability is 41.2% (threshold 40%). Top contributing factor: Recent attendance (4-week avg).,0.4121,0.6961,Recent attendance (4-week avg),Recent attendance (4-week avg),Pending
ACT00060,2025-03-22,STU0285,escalation,WD_CRIT,Critical withdrawal risk,Schedule a mandatory 1:1 retention meeting with personal tutor within 5 working days,Personal Tutor,Student Retention Policy §4.2 (Critical Early Alert),Predicted withdrawal probability is 41.1% (threshold 40%). Top contributing factor: Recent attendance (4-week avg).,0.411,0.7891,Recent attendance (4-week avg),Recent attendance (4-week avg),Pending
ACT00061,2025-03-22,STU0238,escalation,WD_CRIT,Critical withdrawal risk,Schedule a mandatory 1:1 retention meeting with personal tutor within 5 working days,Personal Tutor,Student Retention Policy §4.2 (Critical Early Alert),Predicted withdrawal probability is 40.6% (threshold 40%). Top contributing factor: Lecture materials accessed (last 4w).,0.4062,0.0732,Lecture materials accessed (last 4w),Previous semester GPA,Pending
ACT00062,2025-03-22,STU0333,escalation,WD_CRIT,Critical withdrawal risk,Schedule a mandatory 1:1 retention meeting with personal tutor within 5 working days,Personal Tutor,Student Retention Policy §4.2 (Critical Early Alert),Predicted withdrawal probability is 40.6% (threshold 40%). Top contributing factor: Lecture materials accessed (last 4w).,0.4056,0.0684,Lecture materials accessed (last 4w),VLE login trend,Pending
ACT00063,2025-03-22,STU0010,escalation,WD_CRIT,Critical withdrawal risk,Schedule a mandatory 1:1 retention meeting with personal tutor within 5 working days,Personal Tutor,Student Retention Policy §4.2 (Critical Early Alert),Predicted withdrawal probability is 40.1% (threshold 40%). Top contributing factor: Recent attendance (4-week avg).,0.4009,0.8374,Recent attendance (4-week avg),Past interventions received,Pending
ACT00064,2025-03-22,STU0168,high,FAIL_CRIT,Critical failure risk on upcoming assessment,Urgent 1:1 study-skills session and reminder to access the assessment brief,Academic Skills Team,Assessment Support Policy §5.1 (Pre-assessment Intervention),Predicted failure probability is 83.8% with only 4 days until the next assessment. Top contributing factor: Past interventions received.,0.6162,0.8375,Lecture materials accessed (last 4w),Past interventions received,Pending
ACT00065,2025-03-22,STU0557,high,FAIL_CRIT,Critical failure risk on upcoming assessment,Urgent 1:1 study-skills session and reminder to access the assessment brief,Academic Skills Team,Assessment Support Policy §5.1 (Pre-assessment Intervention),Predicted failure probability is 83.7% with only 3 days until the next assessment. Top contributing factor: Recent attendance (4-week avg).,0.5964,0.8372,Lecture materials accessed (last 4w),Recent attendance (4-week avg),Pending
ACT00066,2025-03-22,STU0557,high,NON_RESPONSIVE,No response to repeated outreach,Senior Tutor to attempt in-person engagement and escalate to Head of Programme if no response,Senior Tutor,Engagement Escalation Policy §12.1 (Non-Response Escalation),"4 outreach attempts in the last 30 days, all unanswered. Most recent contact: 2025-03-05 via sms.",0.5964,0.8372,Lecture materials accessed (last 4w),Recent attendance (4-week avg),Pending
ACT00067,2025-03-22,STU0557,high,WELLBEING_FLAGS,Multiple wellbeing concerns raised,Wellbeing Team to make direct contact within 3 working days,Wellbeing Team,Student Wellbeing Policy §8.2 (Multiple Flag Threshold),2 wellbeing concerns raised (threshold: 2). Last wellbeing check-in score: 5/10.,0.5964,0.8372,Lecture materials accessed (last 4w),Recent attendance (4-week avg),Pending
ACT00068,2025-03-22,STU0382,high,MISSING_ASSIGNMENTS,Multiple missing assignments,Academic Skills Team to schedule a recovery-plan meeting,Academic Skills Team,Assessment Recovery Policy §5.4 (Missing Assessment Trigger),3 missing assignments on record across enrolled modules (threshold: 3).,0.594,0.8356,Lecture materials accessed (last 4w),Past interventions received,Pending
ACT00069,2025-03-22,STU0382,high,WELLBEING_FLAGS,Multiple wellbeing concerns raised,Wellbeing Team to make direct contact within 3 working days,Wellbeing Team,Student Wellbeing Policy §8.2 (Multiple Flag Threshold),2 wellbeing concerns raised (threshold: 2). Last wellbeing check-in score: 9/10.,0.594,0.8356,Lecture materials accessed (last 4w),Past interventions received,Pending
ACT00070,2025-03-22,STU0491,high,MISSING_ASSIGNMENTS,Multiple missing assignments,Academic Skills Team to schedule a recovery-plan meeting,Academic Skills Team,Assessment Recovery Policy §5.4 (Missing Assessment Trigger),3 missing assignments on record across enrolled modules (threshold: 3).,0.5923,0.8365,Lecture materials accessed (last 4w),Recent attendance (4-week avg),Pending
ACT00071,2025-03-22,STU0070,high,MISSING_ASSIGNMENTS,Multiple missing assignments,Academic Skills Team to schedule a recovery-plan meeting,Academic Skills Team,Assessment Recovery Policy §5.4 (Missing Assessment Trigger),5 missing assignments on record across enrolled modules (threshold: 3).,0.5895,0.8366,Lecture materials accessed (last 4w),Past interventions received,Pending
ACT00072,2025-03-22,STU0600,high,MISSING_ASSIGNMENTS,Multiple missing assignments,Academic Skills Team to schedule a recovery-plan meeting,Academic Skills Team,Assessment Recovery Policy §5.4 (Missing Assessment Trigger),5 missing assignments on record across enrolled modules (threshold: 3).,0.588,0.8358,Lecture materials accessed (last 4w),Past interventions received,Pending
ACT00073,2025-03-22,STU0127,high,FAIL_CRIT,Critical failure risk on upcoming assessment,Urgent 1:1 study-skills session and reminder to access the assessment brief,Academic Skills Team,Assessment Support Policy §5.1 (Pre-assessment Intervention),Predicted failure probability is 82.9% with only 6 days until the next assessment. Top contributing factor: Recent attendance (4-week avg).,0.5793,0.8293,Lecture materials accessed (last 4w),Recent attendance (4-week avg),Pending
